nodo_id,artista,grado_total,grado_entrada,grado_salida,intermediacion,cercania,pagerank,followers,hub_score,authority_score,comunidad
6gyhsZUy2fzzWZBRVPmOw4,Soto Asa,1,1,0,0.0,0.0,0.003760324756257695,229028.0,-0.0,0.00021200572406235513,32
1rTUwYS38LkQTlT2fhikch,Yung Beef,1,1,0,0.0,0.0,0.003760324756257695,601603.0,-0.0,0.00021200572406235513,32
51XrH5fQP2oIQynuKxSWcW,Sky Rompiendo,1,1,0,0.0,0.0,0.0036510741393414713,337617.0,-0.0,0.0003443819124731239,8
7ciBW1p3KBsYIkFk4UmwS8,The Rudeboyz,1,1,0,0.0,0.0,0.0036510741393414713,25709.0,-0.0,0.0003443819124731239,8
2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,1,1,0,0.0,0.0,0.0036510741393414713,4582580.0,-0.0,0.00027623084218584773,8
4s6Xg38sbqh4xpf4OqhVUK,iZaak,1,1,0,0.0,0.0,0.0036510741393414713,422898.0,-0.0,0.00027623084218584773,8
54seKvtsZauR1iauN0ptpo,De La Rose,1,1,0,0.0,0.0,0.0036510741393414713,596187.0,-0.0,0.00027623084218584773,8
1QcutbFtA6u8A2ZFTZuLSL,Panda Black,1,1,0,0.0,0.0,0.0036510741393414713,84987.0,-0.0,0.00027623084218584773,8
3AP96neoRZgep3w7wvhubP,Marconi Impara,1,1,0,0.0,0.0,0.0036510741393414713,67427.0,-0.0,0.00027623084218584773,8
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,1,1,0,0.0,0.0,0.0036510741393414713,5308093.0,-0.0,0.00027623084218584773,8
4IndUOBCZYZg61557iq2A9,Maldy,1,1,0,0.0,0.0,0.004000676113473387,148705.0,-0.0,0.00022193259719509724,8
11usEAQkFE6UJwsyAKkchi,Caleb Calloway,1,1,0,0.0,0.0,0.004000676113473387,29694.0,-0.0,0.00022193259719509724,8
2GAntPIbrC47uOoCNVnDPG,Oliver Kid,1,1,0,0.0,0.0,0.004000676113473387,3909.0,-0.0,0.00022193259719509724,8
6ddcxDK0BEkhe5LCdoA5Ki,Nickzzy,1,1,0,0.0,0.0,0.003760324756257695,142357.0,-0.0,0.00021200572406235513,32
6HCBnyTBSLdb3TFn2ayulY,,1,1,0,0.0,0.0,0.0038260785731127744,,-0.0,0.00036903348859057534,24
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,1,1,0,0.0,0.0,0.0036510741393414713,26766596.0,-0.0,0.00027623084218584773,8
3qndygm4Vx7bEW8tNyDKSY,,1,1,0,0.0,0.0,0.0036510741393414713,,-0.0,0.0003443819124731239,8
