"id","label","followers","genres","popularity","image_url"
"687cZJR45JO7jhk1LHIbgq","Tems","2951346","afrobeats, alté, afrobeat","76","https://i.scdn.co/image/ab6761610000e5eb22d7d6f8981c7a27bf68a382"
"7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign","6225041","","83","https://i.scdn.co/image/ab6761610000e5eb24b3c0f33bc5e3f6a53f84d7"
"55Aa2cqylxrFIXC767Z865","Lil Wayne","16470450","rap, hip hop","88","https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4"
"1sBkRIssrMs1AbVkOJbc7a","Rick Ross","7511861","southern hip hop","77","https://i.scdn.co/image/ab6761610000e5eb8196a8109c28a8b8aca28fae"
"7bXgB6jMjp9ATFy66eO08Z","Chris Brown","25537978","r&b","87","https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728"
"14CHVeJGrR5xgUGQFV5BVM","Fivio Foreign","1398884","brooklyn drill, new york drill, drill, uk drill","66","https://i.scdn.co/image/ab6761610000e5eb366afadc7bfc1671fb1d4f2c"
"2UyyBkpzN5w3hzZBZGvRZb","Sosa Geek","6504","brooklyn drill, new york drill, drill","39","https://i.scdn.co/image/ab67616d0000b2733154f333558b0bb3d0bab250"
"5ooSG9S0glqP5ZrqqaHBvT","James Fauntleroy","32144","","55","https://i.scdn.co/image/ab6761610000e5ebe48a7f38c0aed50db51b3fbe"
"3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","34877051","","84","https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd"
"3pbi8H08p95NUZ7m6ybxUV","Static Major","13612","","62","https://i.scdn.co/image/ab6761610000e5eb5ccc476e8b18673e01d87420"
"3S0tlB4fE7ChxI2pWz8Xip","Giggs","537681","grime","61","https://i.scdn.co/image/ab6761610000e5eb4267fcfc5da1c62eff994b29"
"6wMr4zKPrrR0UVz08WtUWc","Black Coffee","1351144","afro house, house","64","https://i.scdn.co/image/ab6761610000e5eb980bed716b6784a79aabf00e"
"1CoZyIx7UvdxT5c8UkMzHd","Jorja Smith","3548640","","73","https://i.scdn.co/image/ab6761610000e5eba6524d02e26778b0b99a33d5"
"2WoVwexZuODvclzULjPQtm","Sampha","828991","","65","https://i.scdn.co/image/ab6761610000e5eb36d5be1a79a8a98c4d02f012"
"7e1ICztHM2Sc4JNLxeMXYl","dvsn","1260236","alternative r&b","55","https://i.scdn.co/image/ab6761610000e5eb95000007448cd5d31b13a425"
"7v9bFXCdSMA2o3gS4nvp0F","Pimp C","940147","southern hip hop, crunk","50","https://i.scdn.co/image/1dc3aa21b257e9d81b6d80ca6f14f23a4c082b49"
"3tVQdUvClmAT7URs9V3rsp","Wizkid","7302796","afrobeats, afrobeat, afropop, azonto, afroswing, afropiano, dancehall","79","https://i.scdn.co/image/ab6761610000e5ebfa2e36a9d14dc11f3233bb4a"
"6TK7fjRPdy2GW2pJzNF23L","Kyla","3235","","69","https://i.scdn.co/image/ab67616d0000b27357a84c5fd0edb2b290e3d37e"
"5pKCCKE2ajJHZ9KAiaK11H","Rihanna","65851473","","91","https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789"
"4HzKw8XcD0piJmDrrPRCYk","Majid Jordan","983294","","67","https://i.scdn.co/image/ab6761610000e5eb3916b72e0d2752aee6974d8e"
"5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","8973886","r&b","78","https://i.scdn.co/image/ab6761610000e5ebbc7ca5ae34cffbb572660ee3"
"3nVd3Up7f9uluILXNuLWis","Chrome Details Noise","123","","49","https://i.scdn.co/image/ab67616d0000b273055692c0375bd612571118a0"
"2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","38774708","hip hop, west coast hip hop","97","https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918"
"35sCXuy5gN6Or69rZ9vqBs","Birdman","1324935","southern hip hop","65","https://i.scdn.co/image/a0f17a1d34ac2462e049b89daa2b8051231f753b"
"0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","33516411","","86","https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd"
"74V3dE1a51skRkdII8y2C6","André 3000","626693","","67","https://i.scdn.co/image/ab6761610000e5eb1984263efe557e8116f0780a"
"3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","12427142","r&b, neo soul","78","https://i.scdn.co/image/ab6761610000e5ebebfd16a3bca87c31c1e20576"
"5XPrniVXXXD0021qH0ed6b","Artisti Italiani","3495","canzone napoletana","14","https://i.scdn.co/image/ab67616d0000b273b3bad3e0ea0a2f0f0544a34b"
"2cADQgiLMjNhbsfeN52Bf3","Swizz Beatz","445355","","64","https://i.scdn.co/image/ab6761610000e5ebaab238968309b88b14407cbd"
"2aaLAng2L2aWD2FClzwiep","Dream Theater","1693727","progressive metal, progressive rock, metal","64","https://i.scdn.co/image/ab6761610000e5eb6c2390469c190a49f3926865"
"4yBK75WVCQXej1p04GWqxH","Jeezy","2486158","southern hip hop, crunk, rap, gangster rap","70","https://i.scdn.co/image/ab6761610000e5eb075a4c9d6da66addd8247c12"
"2iojnBLj0qIMiKPvVhLnsH","Trey Songz","7622152","r&b","70","https://i.scdn.co/image/ab6761610000e5ebc7b9e9a3adcc3f5cbc92fb0b"
"6u11Qbko2N2hP4lTBYjX86","Peter Bjorn and John","415047","indie","61","https://i.scdn.co/image/ab6761610000e5eb9cc950721c840af3679622f3"
"1Xfmvd48oOhEWkscWyEbh9","Lloyd","2508985","r&b","69","https://i.scdn.co/image/ab6761610000e5eb5de0901c4bcb8d0352b71c3f"
"6oBm8HB0yfrIc9IHbxs6in","Lykke Li","1935478","","68","https://i.scdn.co/image/ab6761610000e5eb0bf8a86c8e3a34bb4934abb7"
"6Jrxnp0JgqmeUX1veU591p","Santigold","757185","","65","https://i.scdn.co/image/ab6761610000e5eb8d7a5250b491f705d4f060b6"
"0f5nVCcR06GX8Qikz0COtT","Omarion","3096135","r&b","61","https://i.scdn.co/image/ab6761610000e5eb8b09a264a0e22193f0786c1b"
"0qudezVgvl4Chd9BgNFB83","Chilly Gonzales","245876","neoclassical","51","https://i.scdn.co/image/ab6761610000e5ebc300079c1c4a77e1ac925471"
"2p1fiYHYiXz9qi0JJyxBzN","Skepta","1448023","grime","74","https://i.scdn.co/image/ab6761610000e5eb247e3bd61bd004869b5bffc3"
"4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","18528506","melodic rap","83","https://i.scdn.co/image/ab6761610000e5eba8ce348f34f18241d3249fa9"
"3x3jSlhyv5CiCZDZlaTq0M","Pi’erre Bourne","1057458","melodic rap","61","https://i.scdn.co/image/ab6761610000e5eb057015e505454bc625940dc3"
"2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","9700723","r&b","81","https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428"
"7gG8L3FNYDI6EOtYbOZKC4","Artist Running Club","1813","","14","https://i.scdn.co/image/ab6761610000e5eb55dbbbcdbc7ee5bc15659e39"
"4ORGLIaI1piqzCpthayo9B","Red Coldhearted","1860","","44","https://i.scdn.co/image/ab6761610000e5eb5404afa990a7f6e6ea24d967"
"5yPzzu25VzEk8qrGTLIrE1","Young Nudy","1588758","","69","https://i.scdn.co/image/ab6761610000e5eb123cc54c9d92f97d911edc42"
"13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","16072933","rap","85","https://i.scdn.co/image/ab6761610000e5eb5c58c41a506a0d6b32cc6cad"
"5YZ5AExR68U3ZblH6HcO6B","Leven Kali","200512","","59","https://i.scdn.co/image/ab6761610000e5eb80abe7d481b2b370fc9c90e4"
"3AbxYdBPKqzax829J0Z0Nk","Slug † Christ","35823","cloud rap, emo rap, underground hip hop","47","https://i.scdn.co/image/ab6761610000e5eb2a1254442dfbd925bf0f093e"
"0bZ9jANLkwEFVcSnHnwrpb","UnoTheActivist","496324","rage rap, melodic rap, cloud rap","56","https://i.scdn.co/image/ab6761610000e5eb9b75ca760604bc680a63a513"
"3fHjwMnkM9ov8CozqkYxWY","Ramriddlz","136756","","38","https://i.scdn.co/image/ab6761610000e5eb4280de34ce2dbff238abf312"
"31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","8710013","melodic rap","77","https://i.scdn.co/image/ab6761610000e5ebebe9d9f649d6ef85497f71af"
"6xS5PpBWaVYraexEkEjjXv","Maxo Kream","474808","","57","https://i.scdn.co/image/ab6761610000e5ebcb38cedfa83aa5eecc386655"
"66lH4jAE7pqPlOlzUKbwA0","Miranda Lambert","3654941","country","68","https://i.scdn.co/image/ab6761610000e5eb88989ce8f824f1aa19d059c4"
"4l8WPB3dhjAUOFcoCa8FOR","Neako","7695","","26","https://i.scdn.co/image/ab6761610000e5eb308239527aac6aa92fc85edf"
"25nulPweeZpoA1zyu4wASV","Ethereal Nocturne","156","","55","https://i.scdn.co/image/ab67616d0000b27329b0b5d229a99643fe655b57"
"6WkUZyqghQei2G809wMKuZ","Yung Bans","807050","cloud rap","51","https://i.scdn.co/image/ab6761610000e5eb25db17f5bbd64d3bf6e44fbc"
"1pPmIToKXyGdsCF6LmqLmI","Rich The Kid","3411343","trap","66","https://i.scdn.co/image/ab6761610000e5eb831fd7e9e9fe1b0217791b94"
"46SHBwWsqBkxI7EeeBEQG7","Kodak Black","11656660","","80","https://i.scdn.co/image/ab6761610000e5eb70c05cf4dc9a7d3ffd02ba19"
"5xKVALj2MSqOHmQhburCM8","Tanner Adell","115021","","54","https://i.scdn.co/image/ab6761610000e5eb0a696e70d4577ee49dfc1622"
"6YM5gRpMJkP0kUWRcvlHT3","Brittney Spencer","39924","","52","https://i.scdn.co/image/ab6761610000e5ebcd51e8d614d3a2cbc779b1e1"
"26VEPCGAYB9OClQodb0OR1","Tiera Kennedy","24187","","52","https://i.scdn.co/image/ab6761610000e5eb9e928a77419f416c186a1c74"
"4jpqm8g4We93Uk6M9M4FDh","Reyna Roberts","45621","","52","https://i.scdn.co/image/ab6761610000e5ebb6f6cb70ac3cacc5d3a3774d"
"3wagsd3wjqjNVlMLPudipm","Rumi Carter","4520","","48",""
